type,group,diameter (km),Age (Ga),Age error lower,Age error upper,Lat,Long (E)
L1,3,10.011,0.8,0.7,1.5,-1.6,350.1
L2,3,9.284,1.7,1.4,1.8,-4.0,350.5
L3,1,13.019,3.8,0.2,0.1,-21.9,354.4
L4,4,10.182,2.8,1.5,0.8,-18.1,2.2
L5,2,6.216,3.8,3.8,0.2,-27.8,3.4
R1,3,6.7,1,0.8,1.4,-1.2,351.5
R2,1,4.68,2.2,1.9,1.4,-22.2,353.1
R3,1,5.28,1,1,2.1,-22.5,353.6
L6,1,7.39,3.5,1,0.2,-22.6,352
L7,1,11.13,3.8,0.2,0.1,-23,352.1
R4,1,5.23,2.4,1.4,1.3,-23.8,352.1
R5,2,4.2,3.9,0.1,0.1,-27.4,2.4
L8,2,15.9,3.7,0.9,0.2,-27.3,3.5
L9,2,17,3.8,0.2,0.2,-27.4,3.2
L10,2,4.63,3.9,0.2,0.4,-27.8,2.4
L11,2,5.1,3.8,0.1,0.1,-28.8,2.5
L12,2,4.68,3.8,0.4,0.2,-28.7,3.2
L13,4,4.06,4,1.3,0.1,-19,1.6
R6,4,20.09,3.8,0.2,0.1,-19.3,1.8
L14,4,7.18,3.4,1.7,0.3,-19.7,2.3
L15,3,3.9,1.3,1.3,2.2,-1.3,351.3
L16,3,9.36,3.8,1.4,0.2,-1.6,351.4
L17,3,5.68,3.5,2.4,0.4,-1.6,351.7
L18,3,6.71,2.8,2.8,1,-2,351.4
R8,5,5.04,2.3,1.8,1.3,-22.8,5.7
L21,5,8.86,3.5,0.9,0.2,-23.1,5.6
L20,5,4.93,3.5,1.3,0.2,-22.6,6.4
R9,6,29.31,4.2,0.1,0.1,-24.6,358
L22,6,7.58,3.7,1.4,0.2,-23.9,357.4
R10,6,8.09,3.6,0.8,0.1,-24,357.6
R11,7,3.06,2.9,1.8,0.7,-21.8,3
L23,7,6.67,3.6,1.2,0.2,-22.2,2.8
L24,7,3.86,3.8,3.8,0.3,-22.1,2.8
R12,8,5.13,3.8,0.2,0.1,-27.9,359.7
L26,8,5.04,3.8,0.2,0.1,-28.2,359.5
L27,8,5.15,3.2,0.8,0.3,-28.4,359.6
L28,8,6.18,3.6,1.6,0.2,-29.4,358.3
R13,8,11.9,3.7,0.1,0.2,-29.8,358
R14,9,5,3.8,0.2,0.1,-24.5,10
L29,9,5.1,3.7,1.9,0.2,-24.6,9.9
L30,10,3.48,3.6,3,0.3,-28.9,9.1
R15,10,2.77,1.8,1.1,1.5,-28.9,9.1
L31,10,6.05,3.8,0.1,0.1,-29.2,9.5
R16,11,3.43,3.8,0.5,0.1,-18.9,5.3
L32,11,6.98,3.7,0.2,0.1,-18.8,5.6
R17,12,4.5,3.8,0.2,0.1,-16.6,7.1
L33,12,7.7,3.7,0.1,0.1,-16.9,6.7
R18,13,24.8,3.8,0.1,0.1,-3.7,348.2
L34,13,11.5,3.9,0.1,0.1,-3.7,346.9
L35,13,4.5,0.5,0.2,0.3,-4,347.2
L36,14,21.5,4.1,0.1,0.1,-4,354.9
R19,14,4.1,3.6,0.7,0.1,-3.8,354.4
L37,14,42.2,4.2,0.4,0.1,-4.4,353.4
R20,15,19.2,3.9,0.1,0.1,-9.4,347.2
L38,15,27.1,4.2,0,0,-9.3,346.9
R21,15,3.5,2.5,1.2,1,-8.1,345.3
L39,15,5.1,3.7,1.5,0.2,-7.8,345.3
R22,15,3.4,3.5,1.1,0.2,-7.9,345.3
R23,16,3.8,3.3,2.4,0.4,-8.6,353.2
L40,16,3.2,3.6,3.1,0.3,-8.9,353.4
R24,17,4.7,3.8,0.3,0.1,-12.1,351.7
L41,17,15.4,3.4,1,0.2,-12.2,352
R25,17,8.1,3.5,3,0.4,-13.8,352.2
L42,17,8.1,3.7,1.5,0.2,-14.1,352.2
L43,18,39.2,4.1,0,0.1,-17.4,356.8
R26,18,19.8,3.9,0,0.1,-17.3,357.4
R27,18,6.6,3.8,0.3,0.1,-17.9,357.4
R7,19,4.73,3.7,0.7,0.1,-0.2,6.9
L19,19,10.19,3.4,0.9,0.2,-0.6,6.52
R28,20,5.04,0.5,0.1,0.2,-17.3,340.7
L44,20,9.62,4,0.1,0.1,-17,341
R29,21,3.64,1.7,1.2,1.6,-26.4,340
L45,21,3.61,3.9,0.2,0.1,-26.3,340.6
